#Stadt,Einwohner,Breitengrad,Laengengrad
Stavropol,358399,45.04,41.97
Sterlitamak,265488,53.63,55.95
Subang Jaya,833571,3.15,101.53
Suihua,5801500,46.63,126.98
Suita,353853,34.75,135.52
Sukabumi,276414,-6.92,106.92
Sukkur,417767,27.7,68.85
Sulaymaniyah,600000,35.55,45.45
Sultanbeyli,272758,40.92,29.3
Sumedang,206746,-6.84,107.92
Sumqayit,264900,40.59,49.64
Sunch'on,230796,34.9511,127.488
Sungai Petani,228843,5.65,100.48
Suqian,5406000,33.9333,118.283
Surabaya,2765908,-7.24,112.74
Surakarta,555308,-7.57,110.82
Surat,2894504,21.2,72.82
Surgut,290598,61.25,73.42
Suwon,1064951,37.2842,127.019
Suzhou,6332900,33.6167,117.
Suzhou,6351900,31.3,120.6
Syktyvkar,229305,61.67,50.81
Sylhet,326362,24.9,91.87
Tabriz,1378935,38.08,46.3
Tabuk,441351,28.39,36.57
Tacloban,221174,11.25,125.
Taegu,2444085,35.8703,128.591
Taejon,1495453,36.3214,127.42
Taganrog,268615,47.22,38.91
Taian,5558300,36.2,117.12
Taichung,1073635,24.15,120.68
Tainan,771060,23.,120.19
Taipei City,2607428,25.02,121.45
Taiping,217647,4.86,100.72
Taizhou,5039800,32.45,119.917
Taizhou,5784700,28.6667,121.35
Taizz,615222,13.6,44.04
Takamatsu,337895,34.34,134.04
Takasaki,245023,36.33,139.02
Takatsuki,351803,34.85,135.62
Tambov,284502,52.73,41.43
Tambun,313920,-6.27,107.05
Tangerang,1797715,-6.18,106.63
Tangshan,7339000,39.62,118.19
Taoyuan,397056,25.,121.31
Taraz,326113,42.9,71.37
Tarlac,203606,15.4889,120.599
Tarsus,233436,36.92,34.9
Tashkent,2140600,41.31,69.3
Tasikmalaya,271143,-7.32,108.21
Tawau,306462,4.26,117.88
Taytay,231460,14.5692,121.132
Tbilisi,1106700,41.72,44.79
Tegal,237084,-6.86,109.13
Tehran,8244535,35.67,51.43
Tel Aviv,404750,32.07,34.77
Thana,1486338,19.2,72.97
Thiruvananthapuram,784153,8.51,76.95
Tianjin,9798400,39.13,117.2
Tiruchchirappalli,775484,10.81,78.69
Tirunelveli,435844,8.73,77.69
Tokorozawa,336081,35.8,139.47
Tokushima,267845,34.07,134.55
Tokyo,13297629,35.67,139.77
Tolyatti,721752,53.48,49.51
Tomsk,489879,56.5,84.97
Toyama,421156,36.7,137.22
Toyohashi,372471,34.76,137.39
Toyonaka,386633,34.78,135.48
Toyota,412131,35.09,137.16
Trablous,229398,34.43,35.87
Trabzon,230399,41.,39.71
Tucheng,332326,24.98,121.44
Tula,509010,54.2,37.61
Tungi,337579,23.88,90.4
Turkmenabat,256000,39.1,63.57
Tver,405618,56.86,35.89
Tyumen,542463,57.15,65.53
Udaipur,422784,24.58,73.69
Udon Thani,247231,17.41,102.79
Ufa,1030812,54.78,56.04
Uijongbu,479141,37.7486,127.039
Ujjain,457346,23.19,75.78
Ulaanbaatar,1031200,47.93,106.91
Ulan-Ude,347819,51.83,107.62
Ulhasnagar,516584,19.23,73.15
Ulsan,1081985,35.5372,129.317
Ulyanovsk,617200,54.33,48.4
Urfa,472238,37.17,38.79
Utsunomiya,457557,36.56,139.89
Vadodara,1409476,22.31,73.18
Van,360810,38.49,43.4
Varamin,208569,35.32,51.65
Varanasi,1164404,25.32,83.01
Velikiy Novgorod,217706,58.52,31.28
Vijayawada,874587,16.52,80.63
Visakhapatnam,1063178,17.73,83.3
Vladikavkaz,314073,43.04,44.68
Vladimir,340669,56.14,40.4
Vladivostok,583673,43.13,131.9
Volgograd,979617,48.71,44.48
Vologda,287001,59.22,39.9
Volzhskiy,308490,48.79,44.77
Voronezh,847620,51.72,39.26
Vung Tau,209683,10.35,107.08
Wah,237515,33.77,72.75
Wakayama,375718,34.22,135.17
Warangal,557802,18.01,79.58
Weifang,8678500,36.72,119.1
Weinan,5568600,34.5,109.5
Wenzhou,7791100,28.02,120.65
Wonju,243387,37.3514,127.945
Wonsan,340174,39.16,127.43
